frame,Latitude,Longitude,Heading,Pitch,Roll
12842,57.7118678825,12.9201126325,13.1811004989,-0.4897007122,-4.5070756389
12843,57.7118786634,12.9201173426,13.1366477487,-0.4761766978,-4.5135210281
12844,57.7118948594,12.9201244023,13.0521676492,-0.500845327,-4.4945502352
12845,57.7119056711,12.9201290936,12.9982282221,-0.5133189133,-4.4922921266
12846,57.7119219026,12.9201360942,12.9033912087,-0.5098167706,-4.5080863797
12847,57.7119327395,12.9201407249,12.8502456249,-0.5149730471,-4.5072070901
12848,57.7119490131,12.9201476218,12.79177552,-0.4829174776,-4.5556848319
12849,57.7119598793,12.920152222,12.7491998031,-0.4946067904,-4.5726098249
12850,57.7119761983,12.9201590775,12.6984327403,-0.5245874322,-4.6041474548
12851,57.7119870832,12.9201636482,12.6445742314,-0.5290883834,-4.6105438376
12852,57.7120034234,12.9201704889,12.5831787755,-0.5307422648,-4.6084886223
12853,57.7120143261,12.9201750162,12.5325098964,-0.5408309089,-4.6266093257
12854,57.7120306768,12.9201818142,12.4505622921,-0.531359186,-4.5945135551
12855,57.7120415862,12.9201863023,12.409133711,-0.5501545481,-4.6090756108
12856,57.7120579261,12.9201930299,12.3159340711,-0.5470199957,-4.5849629752
12857,57.7120688086,12.9201974715,12.2753327544,-0.5380138713,-4.5762921514
12858,57.7120851244,12.9202041093,12.1847496059,-0.5443713624,-4.5832082482
12859,57.7120959814,12.9202084925,12.1324856546,-0.5391517916,-4.5822245137
12860,57.7121122337,12.9202150015,12.0649384498,-0.5542965597,-4.5910936236
12861,57.7121230377,12.9202193251,11.9986074324,-0.5617625604,-4.5973549389
12862,57.7121391969,12.9202257145,11.9612006453,-0.5530050869,-4.6105861246
12863,57.7121499353,12.9202299589,11.9118323428,-0.5696910381,-4.6088867593
12864,57.7121659783,12.9202362727,11.8554593504,-0.5603469941,-4.6031543852
12865,57.7121766257,12.9202404383,11.8117536921,-0.5393480515,-4.5990580174
12866,57.7121925403,12.9202466478,11.7365119482,-0.5508342752,-4.5795668581
12867,57.7122083687,12.9202528221,11.6665996442,-0.5376033959,-4.5625357077
12868,57.7122188703,12.9202568687,11.6202143388,-0.5060363247,-4.5583548152
12869,57.7122345604,12.9202629032,11.5141698583,-0.5030267589,-4.55060566
12870,57.7122449616,12.9202669012,11.4293238621,-0.4601544316,-4.5336243778
12871,57.7122604951,12.9202727335,11.3610110346,-0.3882143889,-4.6140764595
12872,57.7122759307,12.9202785378,11.299097585,-0.3400823856,-4.5732560966
12873,57.7122861758,12.9202823361,11.2752196328,-0.3374692923,-4.5994138935
12874,57.7123014525,12.9202880346,11.2403747856,-0.3621059911,-4.5398010788
12875,57.7123166303,12.9202936502,11.1829352947,-0.3999069229,-4.5331152607
12876,57.7123266808,12.9202973837,11.1232657954,-0.3831597611,-4.4894119216
12877,57.7123416693,12.9203029168,10.9958527669,-0.339117858,-4.4368684413
12878,57.7123565702,12.9203082863,10.9245919622,-0.294631812,-4.5027649126
12879,57.7123713742,12.9203136268,10.8804971774,-0.2994162846,-4.504353543
12880,57.7123860553,12.92031884,10.8430788759,-0.3471445914,-4.5813657494
12881,57.7123957105,12.9203223066,10.8097066862,-0.3242105859,-4.5609850415
12882,57.712409976,12.9203273929,10.7446124809,-0.3040820701,-4.5594015117
12883,57.7124239637,12.9203323577,10.6807389936,-0.2747384108,-4.5391694319
12884,57.712437676,12.9203371928,10.6217548782,-0.2888671789,-4.5497292354
12885,57.7124510658,12.9203418545,10.5720773232,-0.3643394149,-4.5966487603
12886,57.7124682896,12.9203479142,10.4648516047,-0.391745477,-4.5304284574
12887,57.7124807269,12.9203522271,10.3865097405,-0.3456650258,-4.5538096241
12888,57.7124927633,12.920356393,10.3218592332,-0.2903651804,-4.5224090704
12889,57.7125082171,12.9203616722,10.2792140465,-0.2067387166,-4.5380054337
12890,57.7125229824,12.9203666484,10.2415786777,-0.2130770351,-4.561840635
12891,57.7125369967,12.9203713631,10.1856151571,-0.2335636639,-4.615378316
12892,57.7125502811,12.9203758179,10.1224414436,-0.3440923145,-4.6529868306
12893,57.7125625844,12.920379962,10.0363726596,-0.3828196746,-4.6611009761
12894,57.7125763833,12.9203845388,9.9835748799,-0.4195223802,-4.6899498594
12895,57.7125906963,12.9203892899,9.9255964463,-0.3904591851,-4.670159699
12896,57.7126051676,12.9203940514,9.8721507364,-0.307847541,-4.676152233
12897,57.7126191184,12.9203986324,9.8326051103,-0.2435246066,-4.6781543028
12898,57.7126323672,12.9204029713,9.7847188795,-0.2080253502,-4.6789838244
12899,57.7126467138,12.9204076818,9.723615175,-0.2396109499,-4.6816667919
